cod_aff_form#program_name#selectivity#geolocation#city#cod_uai#available_places#percent_admitted#number_applicants#percent_scholarship#out_of_sector_candidates#L2_continuation_rate#diploma_earned_ontime
11481#Licence - Droit#formation non sélective#{'lon': 2.44529, 'lat': 48.79304}#Créteil#0941111X#650.0#61.0#6144.0#25.0#5.0#41.4#48.3
11499#Licence - Sciences de l'éducation - Parcours Intervention sociale et insertion-formation#formation non sélective#{'lon': 2.44793, 'lat': 48.7956}#Créteil#0941111X#50.0#48.0#797.0#22.0#5.0##
11506#Double licence - Histoire / Lettres - Histoire -Lettres#formation sélective#{'lon': 2.4441800000000002, 'lat': 48.7885}#Créteil#0941111X#30.0#60.0#109.0#15.0##43.3#48.6
11507#Double licence - Histoire / Géographie et aménagement - Histoire - Géographie et aménagement#formation sélective#{'lon': 2.4441800000000002, 'lat': 48.7885}#Créteil#0941111X#30.0#50.0#116.0#14.0##43.3#48.6
11510#BUT - Génie biologique Parcours diététique et nutrition#formation sélective#{'lon': 2.44451, 'lat': 48.789}#Créteil#0941288P#26.0#26.0#1238.0#19.0#50.0#66.1#
11514#BTS - Production - Bâtiment#formation sélective#{'lon': 2.37331, 'lat': 48.7804}#Vitry-sur-Seine#0941294W#12.0#14.0#707.0#31.0#50.0#83.8#62.6
11520#BTS - Services - Collaborateur juriste notarial#formation sélective#{'lon': 2.48675, 'lat': 48.8559}#Fontenay-sous-Bois#0941347D#24.0#25.0#966.0#25.0#17.0#67#
11521#BTS - Services - Comptabilité et gestion#formation sélective#{'lon': 2.48675, 'lat': 48.8559}#Fontenay-sous-Bois#0941347D#33.0#28.0#477.0#42.0#45.0#82.3#58.7
11532#BTS - Services - Commerce International#formation sélective#{'lon': 2.46418, 'lat': 48.818}#Joinville-le-Pont#0942354Y#32.0#33.0#398.0#19.0#10.0#87.3#
11534#BTS - Services - Négociation et digitalisation de la Relation Client#formation sélective#{'lon': 2.46418, 'lat': 48.818}#Joinville-le-Pont#0942354Y#32.0#30.0#352.0#23.0#35.0#83.7#69.8
11542#BTS - Production - Maintenance des véhicules option voitures particulières#formation sélective#{'lon': 2.37792, 'lat': 48.8092}#Ivry-sur-Seine#0941972H#20.0#26.0#441.0#31.0#75.0#86.8#69.2
11543#BUT - Chimie#formation sélective#{'lon': 2.37597, 'lat': 48.7766}#Créteil#0942072S#78.0#59.0#962.0#21.0#30.0#68.5#
11555#BTS - Production - Conception de produits industriels#formation sélective#{'lon': 2.22546, 'lat': 48.9402}#Argenteuil#0950641F#29.0#56.0#354.0#28.0#45.0#83.7#71.5
11560#BTS - Production - Systèmes numériques - Option électronique et communication#formation sélective#{'lon': 2.22546, 'lat': 48.9402}#Argenteuil#0950641F#30.0#27.0#523.0#24.0#60.0##
11562#CPGE - PCSI#formation sélective#{'lon': 2.2948, 'lat': 48.9727}#Enghien-les-Bains#0952196W#40.0#66.0#514.0#20.0##92.6#
11564#BTS - Production - Conception et Réalisation de Systèmes Automatiques#formation sélective#{'lon': 2.2948, 'lat': 48.9727}#Enghien-les-Bains#0952196W#22.0#48.0#279.0#31.0#63.0#85.9#67.1
11566#BTS - Services - Conseil et commercialisation de solutions techniques#formation sélective#{'lon': 2.2948, 'lat': 48.9727}#Enghien-les-Bains#0952196W#32.0#37.0#481.0#31.0#55.0#82.8#
11567#BTS - Services - Collaborateur juriste notarial#formation sélective#{'lon': 2.25368, 'lat': 48.9844}#Ermont#0950645K#34.0#31.0#790.0#20.0#20.0#67#
11575#BTS - Services - Support à l'action managériale#formation sélective#{'lon': 2.0881, 'lat': 49.0568}#Pontoise#0950649P#35.0#47.0#290.0#33.0#46.0#81.8#61.7
11580#BTS - Services - Commerce International#formation sélective#{'lon': 2.38463, 'lat': 48.9942}#Sarcelles#0950650R#35.0#18.0#1327.0#35.0#23.0#87.3#
11585#BTS - Services - Management Commercial Opérationnel#formation sélective#{'lon': 2.2505100000000002, 'lat': 48.9505}#Argenteuil#0950666H#38.0#15.0#1298.0#36.0#46.0#84.7#66.8
11593#BTS - Production - Systèmes numériques - Option informatique et réseaux#formation sélective#{'lon': 2.38158, 'lat': 48.9922}#Sarcelles#0950947N#22.0#10.0#1092.0#28.0#37.0##
11594#BTS - Production - Conception et industrialisation en microtechniques#formation sélective#{'lon': 2.38158, 'lat': 48.9922}#Sarcelles#0950947N#22.0#53.0#132.0#27.0#55.0#85.8#66.8
11596#BTS - Production - Conception et Réalisation de Systèmes Automatiques#formation sélective#{'lon': 2.12998, 'lat': 49.0578}#Saint-Ouen-l'Aumône#0951104J#18.0#39.0#308.0#29.0#63.0#85.9#67.1
11609#BTS - Services - Communication#formation sélective#{'lon': 2.03105, 'lat': 49.0444}#Cergy#0951637N#35.0#15.0#1634.0#20.0#23.0##
11617#BTS - Services - Management Commercial Opérationnel#formation sélective#{'lon': 2.11932, 'lat': 49.0394}#Saint-Ouen-l'Aumône#0951728M#53.0#21.0#2411.0#28.0#46.0#84.7#66.8
11618#BUT - Génie civil - Construction durable (Seconde année possible en apprentissage)#formation sélective#{'lon': 2.07465, 'lat': 49.0173}#Cergy#0951750L#105.0#33.0#2195.0#24.0#50.0#72.4#
11619#BUT - Génie électrique et informatique industrielle (Seconde année possible en apprentissage)#formation sélective#{'lon': 2.07465, 'lat': 49.0173}#Cergy#0951750L#96.0#51.0#1058.0#25.0#50.0#61.3#
11622#BTS - Production - Maintenance des systèmes - option A Systèmes de production#formation sélective#{'lon': 2.01127, 'lat': 49.0528}#Cergy#0951756T#30.0#66.0#280.0#27.0#70.0#59.1#
11627#Licence - Double diplôme - Licence Economie - Économie, Finance et Gestion+ DU Economics & Corporate English#formation sélective#{'lon': 2.08469, 'lat': 49.04304}#Cergy#0952260R#######
11636#Licence - Langues étrangères appliquées - Parcours Langues Étrangères Appliquées Anglais Japonais#formation sélective#{'lon': 2.07414, 'lat': 49.0388}#Cergy#0952260R#65.0#51.0#675.0#20.0##39.7#44.1
11656#BTS - Services - Banque conseiller de clientèle#formation sélective#{'lon': 2.33522, 'lat': 48.972}#Deuil-la-Barre#0951922Y#35.0#34.0#692.0#37.0#26.0##
11658#BUT - Management de la Logistique et des Transports (Seconde année possible en apprentissage)#formation sélective#{'lon': 2.23342, 'lat': 48.9494}#Argenteuil#0951946Z#56.0#48.0#485.0#26.0#50.0#71.3#
11679#BTS - Production - Systèmes numériques - Option électronique et communication#formation sélective#{'lon': 8.7347, 'lat': 41.9263}#Ajaccio#6200002H#15.0#60.0#93.0#14.0#40.0##
11683#BTS - Services - Services informatiques aux organisations#formation sélective#{'lon': 8.7347, 'lat': 41.9263}#Ajaccio#6200002H#24.0#70.0#201.0#15.0#40.0#85.3#
11690#BTS - Services - Management en hôtellerie restauration#formation sélective#{'lon': 9.44103, 'lat': 42.67}#Bastia#7200011Z#30.0#72.0#136.0#28.0#50.0#88.2#77.4
11692#BTS - Services - Management Commercial Opérationnel#formation sélective#{'lon': 9.44374, 'lat': 42.6969}#Bastia#7200073S#30.0#79.0#187.0#16.0#41.0#84.7#66.8
11696#BUT - Génie biologique parcours sciences de l'aliment et biotechnologie (Seconde année possible en apprentissage)#formation sélective#{'lon': 9.15439, 'lat': 42.2972}#Corte#7200117P#22.0#88.0#182.0#19.0#38.0#67.4#
11698#BUT - Métiers du multimédia et de l'internet (Seconde année possible en apprentissage)#formation sélective#{'lon': 9.15439, 'lat': 42.2972}#Corte#7200117P#50.0#43.0#363.0#20.0#52.0#78.7#
11703#BTS - Production - Electrotechnique#formation sélective#{'lon': 9.44095, 'lat': 42.67}#Bastia#7200583W#12.0#39.0#85.0#19.0#41.0#84.2#
11713#Licence - Arts - Parcours Arts du Spectacle#formation non sélective#{'lon': 9.15597, 'lat': 42.30513}#Corte#7200664J#50.0#99.0#79.0#26.0#50.0#54.3#50.2
11731#BTS - Services - Comptabilité et gestion#formation sélective#{'lon': -61.7261, 'lat': 15.991}#Basse-Terre#9710002A#16.0#57.0#236.0#46.0#14.0#82.3#58.7
11733#CPGE - MPSI#formation sélective#{'lon': -61.5253, 'lat': 16.2711}#Les Abymes#9710003B#45.0#75.0#287.0#17.0##91.4#
11734#CPGE - PCSI#formation sélective#{'lon': -61.5253, 'lat': 16.2711}#Les Abymes#9710003B#45.0#72.0#204.0#16.0##92.6#
11781#BTS - Services - Management Commercial Opérationnel#formation sélective#{'lon': -61.0765, 'lat': 14.6029}#Fort-de-France#9720002V#32.0#29.0#546.0#44.0#35.0#84.7#66.8
11784#CPGE - PCSI#formation sélective#{'lon': -61.0833, 'lat': 14.6039}#Fort-de-France#9720003W#45.0#85.0#165.0#18.0##92.6#
11789#BTS - Services - Analyses de biologie médicale#formation sélective#{'lon': -61.0833, 'lat': 14.6039}#Fort-de-France#9720003W#12.0#17.0#394.0#33.0#7.0##
11790#BTS - Services - Négociation et digitalisation de la Relation Client#formation sélective#{'lon': -61.0833, 'lat': 14.6039}#Fort-de-France#9720003W#26.0#26.0#354.0#48.0#34.0#83.7#69.8
11791#BTS - Services - Tourisme#formation sélective#{'lon': -61.0833, 'lat': 14.6039}#Fort-de-France#9720003W#24.0#25.0#497.0#43.0#24.0#86.6#74.5
11795#CPGE - TSI#formation sélective#{'lon': -61.0824, 'lat': 14.6025}#Fort-de-France#9720004X#24.0#100.0#57.0#33.0##84.6#
11797#BTS - Production - Electrotechnique#formation sélective#{'lon': -61.0824, 'lat': 14.6025}#Fort-de-France#9720004X#30.0#47.0#176.0#58.0#69.0#84.2#
11799#BTS - Services - Support à l'action managériale#formation sélective#{'lon': -61.0824, 'lat': 14.6025}#Fort-de-France#9720004X#28.0#48.0#223.0#51.0#33.0#81.8#61.7
11804#BTS - Services - Métiers des Services à l'environnement#formation sélective#{'lon': -61.0833, 'lat': 14.6039}#Fort-de-France#9720005Y#16.0#49.0#42.0#25.0#61.0#84.9#58.7
11817#BTS - Services - Management Commercial Opérationnel#formation sélective#{'lon': -61.058, 'lat': 14.6282}#Fort-de-France#9720615L#20.0#93.0#161.0###84.7#66.8
11825#BTS - Production - Maintenance des véhicules option voitures particulières#formation sélective#{'lon': -61.0154, 'lat': 14.6294}#Le Lamentin#9720695Y#24.0#41.0#114.0#49.0#81.0#86.8#69.2
11850#BTS - Services - Support à l'action managériale#formation sélective#{'lon': -52.3134, 'lat': 4.9308}#Cayenne#9730001N#23.0#25.0#398.0#48.0#41.0#81.8#61.7
11857#BUT - Génie électrique et informatique industrielle#formation sélective#{'lon': -52.6523, 'lat': 5.15834}#Kourou#9730186P#28.0#25.0#129.0#50.0#50.0#61.3#
11879#CPGE - MPSI#formation sélective#{'lon': 55.4693, 'lat': -20.8879}#Saint-Denis#9740001H#48.0#67.0#447.0#20.0##91.4#
11881#CPGE - Lettres#formation sélective#{'lon': 55.4693, 'lat': -20.8879}#Saint-Denis#9740001H#48.0#54.0#329.0#38.0##82.7#
11899#BTS - Services - Professions immobilières#formation sélective#{'lon': 55.3363, 'lat': -21.2395}#Les Avirons#9740045F#24.0#28.0#573.0#46.0#25.0#82.9#66.3
11903#BTS - Production - Maintenance des systèmes - option A Systèmes de production#formation sélective#{'lon': 55.4657, 'lat': -20.8903}#Saint-Denis#9740054R#30.0#72.0#210.0#57.0#60.0#59.1#
11905#BTS - Production - Electrotechnique#formation sélective#{'lon': 55.4657, 'lat': -20.8903}#Saint-Denis#9740054R#24.0#66.0#191.0#59.0#58.0#84.2#
11918#Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Anglais#formation non sélective#{'lon': 55.4852, 'lat': -20.9017}#Saint-Denis#9740478B#650.0#100.0#1326.0#40.0#50.0#38.6#38.7
11926#BTS - Services - Tourisme#formation sélective#{'lon': 55.2674, 'lat': -21.0266}#Saint-Paul#9740597F#60.0#33.0#1091.0#48.0#25.0#86.6#74.5
11939#CPGE - ECT - Option technologique#formation sélective#{'lon': 55.4499, 'lat': -20.8946}#Saint-Denis#9741046U#24.0#82.0#148.0#52.0##87.3#
11944#Diplôme de Comptabilité et de Gestion#formation sélective#{'lon': 55.4499, 'lat': -20.8946}#Saint-Denis#9741046U#35.0#36.0#497.0#44.0###
11954#BUT - Génie biologique parcours sciences de l'environnement et écotechnologies#formation sélective#{'lon': 55.4898, 'lat': -21.3415}#Saint-Pierre#9741180P#26.0#59.0#426.0#29.0#32.0#74.3#
11955#BUT - Génie biologique parcours sciences de l'aliment et biotechnologie#formation sélective#{'lon': 55.4898, 'lat': -21.3415}#Saint-Pierre#9741180P#26.0#53.0#345.0#34.0#40.0#67.4#
11966#Licence - Génie civil - Parcours Sciences et ingénierie de la construction#formation non sélective#{'lon': 55.507, 'lat': -21.2698}#Le Tampon#9741204R#######
11975#BTS - Services - Economie sociale familiale#formation sélective#{'lon': 55.7388, 'lat': -21.0772}#Saint-Benoît#9741231V#18.0#16.0#631.0#55.0#33.0#69#
12013#Licence - Informatique - Parcours Informatique générale#formation non sélective#{'lon': -149.609, 'lat': -17.5769}#Faaa#9840349G#80.0#100.0#153.0#30.0#15.0#38.8#32.8
